2019-11-27 14:20:02.469 [main] INFO  [c.n.c.sources.URLConfigurationSource:122] - <init>() - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make com.hq.multi.config.properties available on classpath.
2019-11-27 14:20:02.492 [main] INFO  [c.n.com.hq.multi.config.DynamicPropertyFactory:281] - getInstance() - DynamicPropertyFactory is initialized with configuration sources: com.netflix.com.hq.multi.config.ConcurrentCompositeConfiguration@559991f5
2019-11-27 14:20:04.472 [main] INFO  [o.s.b.a.e.web.EndpointLinksResolver:58] - <init>() - Exposing 2 endpoint(s) beneath base path '/actuator' 
2019-11-27 14:20:04.749 [main] INFO  [s.d.s.w.PropertySourcedRequestMappingHandlerMapping:69] - initHandlerMethods() - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2019-11-27 14:20:04.976 [main] WARN  [c.n.c.sources.URLConfigurationSource:121] - <init>() - No URLs will be polled as dynamic configuration sources. 
2019-11-27 14:20:04.977 [main] INFO  [c.n.c.sources.URLConfigurationSource:122] - <init>() - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make com.hq.multi.config.properties available on classpath.
2019-11-27 14:20:05.358 [main] INFO  [o.s.s.c.ThreadPoolTaskExecutor:171] - initialize() - Initializing ExecutorService 'applicationTaskExecutor' 
2019-11-27 14:20:06.500 [main] WARN  [o.s.c.n.core.CoreAutoConfiguration:37] - <init>() - This module is deprecated. It will be removed in the next major release. Please use spring-cloud-netflix-hystrix instead. 
2019-11-27 14:20:06.552 [main] WARN  [o.s.c.s.e.EurekaStarterDeprecationWarningAutoConfiguration:19] - logWarning() - spring-cloud-starter-eureka is deprecated as of Spring Cloud Netflix 1.4.0, please migrate to spring-cloud-starter-netflix-eureka 
2019-11-27 14:20:06.593 [main] INFO  [s.d.s.w.p.DocumentationPluginsBootstrapper:151] - start() - Context refreshed 
2019-11-27 14:20:06.965 [main] INFO  [s.d.s.w.p.DocumentationPluginsBootstrapper:154] - start() - Found 1 custom documentation plugin(s) 
2019-11-27 14:20:07.027 [main] INFO  [s.d.s.w.s.ApiListingReferenceScanner:41] - scan() - Scanning for api listing references 
2019-11-27 14:20:07.232 [main] INFO  [s.d.s.w.r.o.CachingOperationNameGenerator:40] - startingWith() - Generating unique operation named: handleUsingGET_1 
2019-11-27 14:20:07.237 [main] INFO  [s.d.s.w.r.o.CachingOperationNameGenerator:40] - startingWith() - Generating unique operation named: handleUsingGET_2 
